cid,speed,card_name,attack,defense`,description
1,1996,キリ番踏み逃げ禁止,450,170,個人ホームページ黎明期、サイト訪問者に掲示板への報告を義務づけた謎の文化。1990年代～2000年代前半に流行。
2,1995,ダイヤルアップ接続,80,142,「ピーーーヒョルルル……」という懐かしのサウンド。パソコンを電話回線に繋いでインターネット接続する方法。初出1960年代、流行1995年頃。
3,1999,ブッチホン,75,25,国民と対話をするため、小渕首相が直接電話をかけてきたという流行語。
4,1995,テレホーダイ,350,150,NTT東日本・西日本が提供していたインターネット黎明期の定額通信サービス（23時から翌日8時まで）。ネット戦士たちは23時になると一斉にログインしていた。
5,2002,「ぬるぽ」「ガッ!」,300,300,「ぬるぽ」と書き込めば「ガッ!」と返ってくる、2ch伝統のスラング。
6,2005,千葉!滋賀!佐賀!,260,50,Flash動画全盛期に広まったパロディ動画。元ネタは2000年に行われたラーメンズの第6回公演『器用で不器用な男と不器用で器用な男の物語』。流行は2000年代中盤。
7,2007,そんなの関係ねぇ,550,50,お笑い芸人小島よしおが、海パン姿で「そんなの関係ねぇ」と叫んで踊るギャグ。
8,1999,センター問い合わせ,108,45,メールの送受信が即時ではなかった時代。メールは携帯会社のサーバーに一時保管されており、ユーザーはセンターに問い合わせてメールをダウンロードした。気になる人からメールが来てないか、何度もセンターに問い合わせることがあった。
9,2014,号泣議員,943,5,政務活動費問題での釈明会見の際に、不規則発言を繰り返した兵庫県議会の議員が号泣。
10,2017,映え,380,724,「Instagram」発のブームである「インスタ映え」として流行。初出2011年頃、流行2017年頃～。
11,2000,写メ,450,400,携帯電話で撮った写真をメールで送る「写メール」に由来する言葉。初出2000年、流行2000年代前半。
12,2023,なぁぜなぁぜ？,474,20,日常のちょっとした疑問や不満を可愛らしく投げかける言葉。女性アイドルグループ「FRUITS ZIPPER」の楽曲『ハピチョコ』からTikTokなどのSNSで流行。
13,1993,ポケベルが鳴らなくて,200,300,裕木奈江、緒形拳主演の日本テレビ系列のドラマ。
14,1997,MK5,492,80,コギャルの間で使われた言葉で「マジでキレる5秒前」の意。1990年代前半に初出。広末涼子の1stシングル『MajiでKoiする5秒前』が1997年にヒットしたことで定着した。
15,2001,モナー（お前モナー）,350,320,あめぞうBBS発祥、2chで広まった代表的アスキーアート。レスバを「お前モナー」の一言で受け流す、高い煽り性能を持つ。
16,2020,老害,750,860,職場や地域などの組織において、年長者や経験者が古い価値観を押し付けたり、横暴に振舞うさま。初出は、松本清張の小説『迷走地図』（1982年?1983年連載・出版）の「老害よ、即刻に去れ」というセリフ。
17,2004,パケ死,243,30,データ通信を使いすぎて想定外の高額料金を請求されること。初出2000年頃。流行2000年代前半。
18,2006,逆パカ,78,7,かつて主流だった折りたたみ式携帯電話（ガラケー）を、開く方向とは逆に無理やり折り曲げて破壊する行為。
19,2010,あげぽよ,398,100,テンションが上がっている状態やアゲアゲな気分を意味する若者言葉。元『egg』モデルの川端かなこ氏が考案した言葉。
20,2010,〇〇なう,650,230,Twitter（現X）で、今（Now）どこにいるか何をしているかを表した投稿。初出2007年。
21,2016,おけまる,120,150,「OK。」を可愛くした女子高生言葉、「OK」の意。初出2014年近辺。
22,2013,今でしょ！,700,43,東進ハイスクールの林修講師のフレーズ。元々は2009年に生徒のやる気を引き出すため、授業内で偶然発せられた言葉。
23,2015,爆買い,860,852,凄まじい勢いで商品が買われていく社会現象。2015年の春節に訪日中国人観光客が日本の免税店や家電量販店で商品を大量に買い漁る様子から広まった。初出2014年近辺。
24,2016,まじ卍（まんじ）,300,300,感情の高ぶりや物事の程度を表す言葉で、具体的な意味はなく「ヤバい」「超テンションが上がる」といった幅広いニュアンスを意味する。
25,2018,そだねー,551,278,平昌オリンピック カーリング女子日本代表が使用していた北海道弁の相槌。
26,2018,タピる,450,270,タピオカが入ったドリンクを飲むことを意味する流行語。初出2000年代後半。
27,2020,うっせぇわ,650,40,歌手・Adoのメジャーデビュー楽曲。
28,2010,ブラック企業,750,870,違法な長時間労働や賃金未払い、悪質なパワハラなどを強いる企業。初出2001年頃。流行2010年代以降。
29,2000,デスマーチ,198,70,過酷な労働状況やプロジェクトの破綻寸前な状態を指すIT用語。アメリカのソフトウェア工学者であるエドワード・ヨードン（Edward Yourdon）が1997年に出版した著書から。
30,1995,がんばろうKOBE,654,240,1995年1月の阪神・淡路大震災の際に生まれた復興の象徴となるスローガン。当時、プロ野球のオリックス・ブルーウェーブがこの言葉を合言葉にした。
